"36","2016-11-18","Stygian Necklace - Robust"
"35","2016-11-11","Bloodspawn Helm  - Infused  (Light, Medium, Heavy)"
"35","2016-11-11","Necklace of the Warlock  - Arcane"
"35","2016-11-11","Necklace of Nikulas - Healthy"
"34","2016-11-04","Swarm Mother's Shoulders  - Infused  (Light, Medium, Heavy)"
"34","2016-11-04","Senche's Ring  - Robust"
"34","2016-11-04","Ring of the Viper - Robust"
"33","2016-10-28","Velidreth's Helm  - Infused  (Light, Medium, Heavy)"
"33","2016-10-28","Necklace of the Red Mountain  - Robust"
"33","2016-10-28","Senche's Necklace - Robust"
"32","2016-10-21","Selene's Helm  - Infused  (Light, Medium, Heavy)"
"32","2016-10-21","Velidreth's Helm - Infused (Light, Medium, Heavy"
"32","2016-10-21"," Ice Furnace Ring - Healthy"
"32","2016-10-21","Necklace of the Red Mountain - Robust"
"32","2016-10-21","Ring of the Dreugh King Slayer - Healthy"
"32","2016-10-21","Senche's Necklace - Robust"
"31","2016-10-14","Blood Spawn Shoulders  - Infused  (Light, Medium, Heavy)"
"31","2016-10-14"," Ring of the Viper - Robust"
"31","2016-10-14"," Ring of the Shadow Dancer - Arcane"
"30","2016-10-07","Nerien'eth's Shoulders  - Infused  (Light, Medium, Heavy)"
"30","2016-10-07"," Ring of the Red Mountain - Robust"
"30","2016-10-07"," Ring of the Knightmare - Healthy"
"29","2016-09-30"," Mighty Chudan's Helm  - Infused  (Light, Medium, Heavy)"
"29","2016-09-30"," Greaves of Permafrost - Infused (Heavy)"
"29","2016-09-30"," Greaves of Glory - Infused (Heavy)"
"28","2016-09-23","Spawn of Mephala Helm - Infused  (Light, Medium, Heavy)"
"28","2016-09-23","Necklace of Succession - Arcane"
"28","2016-09-23","Collar of the Hunt - Robust"
"27","2016-09-16","Winterborn Chest - Infused  (Light, Medium, Heavy)"
"27","2016-09-16","Para Bellum Jack - Infused"
"27","2016-09-16","Malubeth Shoulders - Infused (Light, Medium, Heavy)"
"26","2016-09-09","Lord Warden Helm - Infused  (Light, Medium, Heavy)"
"26","2016-09-09"," Sabatons of Permafrost - Divines"
"26","2016-09-09","Boots of the Hunt - Divines"
"25","2016-09-02","Maw of the Infernal's Shoulders - Infused  (Light, Medium, Heavy)"
"25","2016-09-02"," Winterborn Ring - Arcane"
"25","2016-09-02","Signet of Succession - Arcane"
"24","2016-08-26"," Blood Spawn Shoulders - Infused  (Light, Medium, Heavy)"
"24","2016-08-26"," Sabatons of Permafrost  - Divines"
"24","2016-08-26"," Para Bellum Boots- Divines"
"23","2016-08-19","Engine Guardian Helm - Infused (Light, Medium, Heavy)"
"23","2016-08-19","Ring of Glory  - Healthy"
"23","2016-08-19","Ring of the Hunt - Robust"
"22","2016-08-12","Malubeth the Scourger's Helm - Impenetrable  (Light, Medium, Heavy)"
"22","2016-08-12","Para Bellum Belt  - Impenetrable (Medium)"
"22","2016-08-12","Winterborn Sash - Impenetrable (Light)"
"21","2016-08-05","Lord Warden Dusk's Shoulders - Impenetrable (Light, Medium, Heavy)"
"21","2016-08-05","Sash of Succession - Impenetrable (Light)"
"21","2016-08-05","Girdle of Glory - Divines (Heavy)"
"20","2016-07-29","Nerien'eth's Helm - Infused (Light, Medium, Heavy)"
"20","2016-07-29","Marksman's Belts - Divines (Medium)"
"20","2016-07-29","Girdle of Fasalla's Guile - Divines (Heavy)"
"19","2016-07-22","Lord Warden's Dusk Helm - Infused (Light, Medium, Heavy)"
"19","2016-07-22","Marksman's Boots - Divines (Medium)"
"19","2016-07-22","Greaves of Fasalla's Guile -  Infused (Heavy)"
"18","2016-07-15","Blood Spawn's Helm - Infused (Light, Medium, Heavy)"
"18","2016-07-15","Robe / Jerkin of Transmutation - Infused (Light)"
"18","2016-07-15","Cuirass of Fasalla's Guile - Infused"
"17","2016-07-08","Malubeth the Scourger's Helm - Infused (Light, Medium, Heavy)"
"17","2016-07-08","Marksman's Guards - Infused"
"17","2016-07-08","Breeches of Vicious Death - Infused"
"16","2016-07-01","Maw of the Infernal - Infused (Light, Medium, Heavy)"
"16","2016-07-01","Ring of Fury - Healthy"
"16","2016-07-01","Ring of Fasalla's Guile - Healthy"
"15","2016-06-24","Maw of the Infernal - Infused (Light, Medium, Heavy)"
"15","2016-06-24","Marksman's Bracers - Divines"
"15","2016-06-24","Gloves of Transmutation - Divines"
"14","2016-06-17","Mephala's Helm - Infused (Light, Medium, Heavy)"
"14","2016-06-17","Necklace of Vicious Death - Arcane"
"14","2016-06-17","Leki's Necklace - Robust"
"13","2016-06-03","Valkyn Skoria's Helm - Infused (Light, Medium, Heavy)"
"13","2016-06-03","Girdle of Fasalla's Guile - Divines (Heavy)"
"13","2016-06-03","Girdle of Fury - Divines (Heavy)"
"12","2016-06-10","Valkyn Skoria's Helm - Infused (Light, Medium, Heavy)"
"12","2016-06-10","Girdle of Fasalla's Guile - Divines (Heavy)"
"12","2016-06-10","Girdle of Fury - Divines (Heavy)"
"12","2016-06-10","The Engine Guardian's Shoulder's - Infused (Light, Medium, Heavy)"
"12","2016-06-10","Leki's Boots - Divines (Medium)"
"12","2016-06-10","Shoes of Vicious Death - Divines (Light)"
"11","2016-05-27","Ring of Transmutation - Arcane"
"11","2016-05-27","Molag Kena Helm - Infused (Light, Medium, Heavy)"
"11","2016-05-27","Marksman's Ring - Robust"
"10","2016-05-20","Leki's Jack - Infused (Medium)"
"10","2016-05-20","Curiass of Fury - Infused (Heavy)"
"10","2016-05-20","Lord Warden Dusk's Shoulders - Infused"
"9","2016-05-13","Breeches of Vicious Death - Infused (Light)"
"9","2016-05-13","Nerien'eth's Pauldron - Infused (Light, Medium Heavy)"
"9","2016-05-13","Breeches of Transmutation - Infused (Light)"
"8","2016-05-06","Necklace of Fasalla's Guile - Healthy"
"8","2016-05-06","Marksman's Necklace -Robust"
"8","2016-05-06","Blood Spawn Helm - Infused (Light, Medium, Heavy)"
"7","2016-04-29","Malubeth the Scourager's Shoulders - Infused (Light, Medium, Heavy)"
"7","2016-04-29","Leki's Bracers - Divines (Medium)"
"7","2016-04-29","Gauntlets of Fury -Divines (Heavy)"
"6","2016-04-22","Maw of the Infernal Shoulders Infused (Light, Medium, Heavy)"
"6","2016-04-22","Sash of Transmutation (Light)"
"6","2016-04-22","Girdle of Fasalla's Guile (Heavy)"
"5","2016-04-16","Spawn of Mephala's Helm Infused (Light, Medium, Heavy)"
"5","2016-04-16","Shoes of Vicious Death Divines (Light)"
"5","2016-04-16","Marksman's Boots Divines (Medium)"
"4","2016-04-09","Cuirass of Fury Infused (Heavy)"
"4","2016-04-09","Curiass of Fassals Guile Infused (Heavy)"
"4","2016-04-09","Maw of the Infernal Shoulder Infused (Light, Medium, Heavy)"
"3","2016-04-02","Breeches of Transmutation Infused (Light)"
"3","2016-04-02","Marksman Guards Infused (Medium)"
"3","2016-04-02","Valkyn Helmet Infused (Light, Medium, Heavy)"
"2","2016-03-25","Engine Guardian Head Infused (Light, Medium, Heavy)"
"2","2016-03-25","Vicious Death Ring Arcane (Purple)"
"2","2016-03-25","Leki's Ring Robust (Purple)"
"1","2016-03-17","Nerienth Head Infused (Light, Medium, Heavy)"
"1","2016-03-17","Molag Kena Shoulder Infused (Light, Medium, Heavy)"
